displacement,force
0.00000000,5.00000000
0.31410759,5.93985557
0.62790520,6.87384923
0.94108313,7.80105922
1.25333234,8.72057051
1.56434465,9.63147565
1.87381315,10.53287569
2.18143241,11.42388105
2.48689887,12.30361242
2.78991106,13.17120161
3.09016994,14.02579241
3.38737920,14.86654145
3.68124553,15.69261901
3.97147891,16.50320985
4.25779292,17.29751401
4.53990500,18.07474761
4.81753674,18.83414362
5.09041416,19.57495261
5.35826795,20.29644348
5.62083378,20.99790421
5.87785252,21.67864254
6.12907054,22.33798667
6.37423990,22.97528591
6.61311865,23.58991131
6.84547106,24.18125631
7.07106781,24.74873734
7.28968627,25.29179435
7.50111070,25.80989142
7.70513243,26.30251723
7.90155012,26.76918564
8.09016994,27.20943609
8.27080574,27.62283412
8.44327926,28.00897174
8.60742027,28.36746789
8.76306680,28.69796877
8.91006524,29.00014822
9.04827052,29.27370803
9.17754626,29.51837822
9.29776486,29.73391734
9.40880769,29.92011267
9.51056516,30.07678046
9.60293686,30.20376610
9.68583161,30.30094427
9.75916762,30.36821907
9.82287251,30.40552409
9.87688341,30.41282254
9.92114701,30.39010721
9.95561965,30.33740050
9.98026728,30.25475445
9.99506560,30.14225061
10.00000000,30.00000000
9.99506560,29.82814302
9.98026728,29.62684926
9.95561965,29.39631737
9.92114701,29.13677487
9.87688341,28.84847789
9.82287251,28.53171095
9.75916762,28.18678665
9.68583161,27.81404540
9.60293686,27.41385504
9.51056516,26.98661052
9.40880769,26.53273347
9.29776486,26.05267181
9.17754626,25.54689932
9.04827052,25.01591512
8.91006524,24.46024323
8.76306680,23.88043203
8.60742027,23.27705373
8.44327926,22.65070379
8.27080574,22.00200034
8.09016994,21.33158357
7.90155012,20.64011510
7.70513243,19.92827733
7.50111070,19.19677276
7.28968627,18.44632329
7.07106781,17.67766953
6.84547106,16.89157004
6.61311865,16.08880061
6.37423990,15.27015348
6.12907054,14.43643655
5.87785252,13.58847260
5.62083378,12.72709846
5.35826795,11.85316422
5.09041416,10.96753234
4.81753674,10.07107682
4.53990500,9.16468237
4.25779292,8.24924348
3.97147891,7.32566359
3.68124553,6.39485415
3.38737920,5.45773376
3.09016994,4.51522725
2.78991106,3.56826475
2.48689887,2.61778081
2.18143241,1.66471343
1.87381315,0.71000318
1.56434465,-0.24540775
1.25333234,-1.20057650
0.94108313,-2.15456042
0.62790520,-3.10641806
0.31410759,-4.05521003
0.00000000,-5.00000000
-0.31410759,-5.93985557
-0.62790520,-6.87384923
-0.94108313,-7.80105922
-1.25333234,-8.72057051
-1.56434465,-9.63147565
-1.87381315,-10.53287569
-2.18143241,-11.42388105
-2.48689887,-12.30361242
-2.78991106,-13.17120161
-3.09016994,-14.02579241
-3.38737920,-14.86654145
-3.68124553,-15.69261901
-3.97147891,-16.50320985
-4.25779292,-17.29751401
-4.53990500,-18.07474761
-4.81753674,-18.83414362
-5.09041416,-19.57495261
-5.35826795,-20.29644348
-5.62083378,-20.99790421
-5.87785252,-21.67864254
-6.12907054,-22.33798667
-6.37423990,-22.97528591
-6.61311865,-23.58991131
-6.84547106,-24.18125631
-7.07106781,-24.74873734
-7.28968627,-25.29179435
-7.50111070,-25.80989142
-7.70513243,-26.30251723
-7.90155012,-26.76918564
-8.09016994,-27.20943609
-8.27080574,-27.62283412
-8.44327926,-28.00897174
-8.60742027,-28.36746789
-8.76306680,-28.69796877
-8.91006524,-29.00014822
-9.04827052,-29.27370803
-9.17754626,-29.51837822
-9.29776486,-29.73391734
-9.40880769,-29.92011267
-9.51056516,-30.07678046
-9.60293686,-30.20376610
-9.68583161,-30.30094427
-9.75916762,-30.36821907
-9.82287251,-30.40552409
-9.87688341,-30.41282254
-9.92114701,-30.39010721
-9.95561965,-30.33740050
-9.98026728,-30.25475445
-9.99506560,-30.14225061
-10.00000000,-30.00000000
-9.99506560,-29.82814302
-9.98026728,-29.62684926
-9.95561965,-29.39631737
-9.92114701,-29.13677487
-9.87688341,-28.84847789
-9.82287251,-28.53171095
-9.75916762,-28.18678665
-9.68583161,-27.81404540
-9.60293686,-27.41385504
-9.51056516,-26.98661052
-9.40880769,-26.53273347
-9.29776486,-26.05267181
-9.17754626,-25.54689932
-9.04827052,-25.01591512
-8.91006524,-24.46024323
-8.76306680,-23.88043203
-8.60742027,-23.27705373
-8.44327926,-22.65070379
-8.27080574,-22.00200034
-8.09016994,-21.33158357
-7.90155012,-20.64011510
-7.70513243,-19.92827733
-7.50111070,-19.19677276
-7.28968627,-18.44632329
-7.07106781,-17.67766953
-6.84547106,-16.89157004
-6.61311865,-16.08880061
-6.37423990,-15.27015348
-6.12907054,-14.43643655
-5.87785252,-13.58847260
-5.62083378,-12.72709846
-5.35826795,-11.85316422
-5.09041416,-10.96753234
-4.81753674,-10.07107682
-4.53990500,-9.16468237
-4.25779292,-8.24924348
-3.97147891,-7.32566359
-3.68124553,-6.39485415
-3.38737920,-5.45773376
-3.09016994,-4.51522725
-2.78991106,-3.56826475
-2.48689887,-2.61778081
-2.18143241,-1.66471343
-1.87381315,-0.71000318
-1.56434465,0.24540775
-1.25333234,1.20057650
-0.94108313,2.15456042
-0.62790520,3.10641806
-0.31410759,4.05521003
-0.00000000,5.00000000
