time,displacement,acceleration
0.0000,0.00108413,-0.32063209
0.0100,0.00213974,-0.52698987
0.0200,0.00314287,-0.70731519
0.0300,0.00407555,-0.85395457
0.0400,0.00492316,-0.96104330
0.0500,0.00567504,-1.02480954
0.0600,0.00632480,-1.04376587
0.0700,0.00687056,-1.01877831
0.0800,0.00731478,-0.95300899
0.0900,0.00766399,-0.85173569
0.1000,0.00792827,-0.72205798
0.1100,0.00812051,-0.57250584
0.1200,0.00825559,-0.41257193
0.1300,0.00834941,-0.25219257
0.1400,0.00841793,-0.10120561
0.1500,0.00847618,0.03118582
0.1600,0.00853733,0.13691455
0.1700,0.00861188,0.20948883
0.1800,0.00870708,0.24434619
0.1900,0.00882637,0.23910265
0.2000,0.00896923,0.19368389
0.2100,0.00913115,0.11033135
0.2200,0.00930382,-0.00651727
0.2300,0.00947561,-0.15046645
0.2400,0.00963220,-0.31350751
0.2500,0.00975735,-0.48645103
0.2600,0.00983386,-0.65942357
0.2700,0.00984451,-0.82240212
0.2800,0.00977308,-0.96575740
0.2900,0.00960531,-1.08077682
0.3000,0.00932976,-1.16013887
0.3100,0.00893855,-1.19831346
0.3200,0.00842787,-1.19186659
0.3300,0.00779839,-1.13965293
0.3400,0.00705532,-1.04288585
0.3500,0.00620830,-0.90508120
0.3600,0.00527107,-0.73187775
0.3700,0.00426088,-0.53074378
0.3800,0.00319778,-0.31058583
0.3900,0.00210370,-0.08128030
0.4000,0.00100148,0.14684678
0.4100,-0.00008615,0.36356388
0.4200,-0.00113760,0.55927296
0.4300,-0.00213337,0.72551413
0.4400,-0.00305689,0.85540914
0.4500,-0.00389522,0.94401970
0.4600,-0.00463951,0.98860162
0.4700,-0.00528532,0.98874093
0.4800,-0.00583260,0.94636499
0.4900,-0.00628557,0.86562776
0.5000,-0.00665224,0.75267574
0.5100,-0.00694385,0.61530707
0.5200,-0.00717406,0.46254218
0.5300,-0.00735806,0.30412931
0.5400,-0.00751162,0.15001131
0.5500,-0.00765005,0.00978270
0.5600,-0.00778732,-0.10783391
0.5700,-0.00793512,-0.19546382
0.5800,-0.00810217,-0.24748286
0.5900,-0.00829364,-0.26032519
0.6000,-0.00851081,-0.23267942
0.6100,-0.00875091,-0.16556266
0.6200,-0.00900727,-0.06226848
0.6300,-0.00926959,0.07180858
0.6400,-0.00952454,0.22946234
0.6500,-0.00975642,0.40206270
0.6600,-0.00994804,0.58002080
0.6700,-0.01008171,0.75330674
0.6800,-0.01014016,0.91199179
0.6900,-0.01010762,1.04678609
0.7000,-0.00997066,1.14954277
0.7100,-0.00971907,1.21370138
0.7200,-0.00934648,1.23464676
0.7300,-0.00885080,1.20996402
0.7400,-0.00823450,1.13957577
0.7500,-0.00750461,1.02575432
0.7600,-0.00667247,0.87300807
0.7700,-0.00575330,0.68784814
0.7800,-0.00476555,0.47844776
0.7900,-0.00373007,0.25421277
0.8000,-0.00266922,0.02528610
0.8100,-0.00160579,-0.19798698
0.8200,-0.00056202,-0.40560425
0.8300,0.00044139,-0.58843323
0.8400,0.00138622,-0.73869095
0.8500,0.00225752,-0.85035099
0.8600,0.00304413,-0.91945601
0.8700,0.00373917,-0.94431903
0.8800,0.00434013,-0.92560258
0.8900,0.00484888,-0.86627173
0.9000,0.00527130,-0.77142337
0.9100,0.00561681,-0.64800117
0.9200,0.00589770,-0.50441153
0.9300,0.00612823,-0.35006124
0.9400,0.00632376,-0.19484176
0.9500,0.00649973,-0.04858807
0.9600,0.00667070,0.07945896
0.9700,0.00684938,0.18115755
0.9800,0.00704591,0.24991018
0.9900,0.00726712,0.28102496
1.0000,0.00751609,0.27197373
1.0100,0.00779192,0.22253291
1.0200,0.00808968,0.13479956
1.0300,0.00840064,0.01308179
1.0400,0.00871268,-0.13633071
1.0500,0.00901092,-0.30550361
1.0600,0.00927852,-0.48528425
1.0700,0.00949759,-0.66579433
1.0800,0.00965015,-0.83696262
1.0900,0.00971918,-0.98906884
1.1000,0.00968953,-1.11326956
1.1100,0.00954885,-1.20207776
1.1200,0.00928831,-1.24977024
1.1300,0.00890316,-1.25270092
1.1400,0.00839313,-1.20950319
1.1500,0.00776253,-1.12117026
1.1600,0.00702016,-0.99100938
1.1700,0.00617899,-0.82447205
1.1800,0.00525562,-0.62886963
1.1900,0.00426953,-0.41298927
1.2000,0.00324223,-0.18663109
1.2100,0.00219626,0.03990879
1.2200,0.00115421,0.25638149
1.2300,0.00013762,0.45312574
1.2400,-0.00083388,0.62157639
1.2500,-0.00174353,0.75471372
1.2600,-0.00257804,0.84742951
1.2700,-0.00332817,0.89679014
1.2800,-0.00398899,0.90218274
1.2900,-0.00455994,0.86533654
1.3000,-0.00504468,0.79021832
1.3100,-0.00545066,0.68280766
1.3200,-0.00578858,0.55076423
1.3300,-0.00607154,0.40300488
1.3400,-0.00631426,0.24921363
1.3500,-0.00653202,0.09931073
1.3600,-0.00673974,-0.03709050
1.3700,-0.00695098,-0.15120965
1.3800,-0.00717710,-0.23557994
1.3900,-0.00742647,-0.28445749
1.4000,-0.00770397,-0.29413721
1.4100,-0.00801054,-0.26315836
1.4200,-0.00834309,-0.19238845
1.4300,-0.00869457,-0.08498119
1.4400,-0.00905429,0.05378945
1.4500,-0.00940843,0.21681011
1.4600,-0.00974075,0.39550866
1.4700,-0.01003348,0.58031433
1.4800,-0.01026820,0.76117226
1.4900,-0.01042693,0.92808514
1.5000,-0.01049304,1.07165256
1.5100,-0.01045225,1.18357912
1.5200,-0.01029342,1.25712396
1.5300,-0.01000924,1.28746747
1.5400,-0.00959670,1.27197549
1.5500,-0.00905735,1.21034668
1.5600,-0.00839733,1.10463510
1.5700,-0.00762717,0.95914690
1.5800,-0.00676139,0.78021641
1.5900,-0.00581779,0.57587376
1.6000,-0.00481674,0.35542191
1.6100,-0.00378020,0.12894569
1.6200,-0.00273073,-0.09322077
1.6300,-0.00169046,-0.30103951
1.6400,-0.00068009,-0.48529803
1.6500,0.00028200,-0.63809376
1.6600,0.00118060,-0.75324783
1.6700,0.00200423,-0.82662599
1.6800,0.00274556,-0.85634936
1.6900,0.00340161,-0.84288374
1.7000,0.00397371,-0.78900292
1.7100,0.00446721,-0.69962779
1.7200,0.00489099,-0.58155013
1.7300,0.00525678,-0.44305595
1.7400,0.00557836,-0.29346874
1.7500,0.00587060,-0.14263720
1.7600,0.00614851,-0.00039520
1.7700,0.00642622,0.12397712
1.7800,0.00671612,0.22226180
1.7900,0.00702797,0.28775390
1.8000,0.00736828,0.31563025
1.8100,0.00773982,0.30321635
1.8200,0.00814134,0.25013685
1.8300,0.00856754,0.15834170
1.8400,0.00900930,0.03200638
1.8500,0.00945402,-0.12268850
1.8600,0.00988629,-0.29788619
1.8700,0.01028869,-0.48447392
1.8800,0.01064262,-0.67257142
1.8900,0.01092937,-0.85206162
1.9000,0.01113107,-1.01313496
1.9100,0.01123168,-1.14681810
1.9200,0.01121790,-1.24545841
1.9300,0.01107992,-1.30313839
1.9400,0.01081200,-1.31599747
1.9500,0.01041287,-1.28244408
1.9600,0.00988587,-1.20324635
1.9700,0.00923890,-1.08149675
1.9800,0.00848410,-0.92245230
1.9900,0.00763731,-0.73325908
2.0000,0.00671736,-0.52257581
2.0100,0.00574526,-0.30011657
2.0200,0.00474316,-0.07613743
2.0300,0.00373337,0.13910568
2.0400,0.00273734,0.33589853
2.0500,0.00177467,0.50558068
2.0600,0.00086228,0.64100046
2.0700,0.00001365,0.73688853
2.0800,-0.00076164,0.79012993
2.0900,-0.00145829,0.79992008
2.1000,-0.00207529,0.76779634
2.1100,-0.00261583,0.69754364
2.1200,-0.00308689,0.59497907
2.1300,-0.00349866,0.46762743
2.1400,-0.00386379,0.32430495
2.1500,-0.00419655,0.17463378
2.1600,-0.00451182,0.02851349
2.1700,-0.00482412,-0.10442207
2.1800,-0.00514669,-0.21533312
2.1900,-0.00549053,-0.29665916
2.2000,-0.00586375,-0.34253474
2.2100,-0.00627090,-0.34911352
2.2200,-0.00671261,-0.31478301
2.2300,-0.00718546,-0.24025843
2.2400,-0.00768204,-0.12855069
2.2500,-0.00819119,0.01519002
2.2600,-0.00869862,0.18394639
2.2700,-0.00918752,0.36920758
2.2800,-0.00963944,0.56142386
2.2900,-0.01003524,0.75051811
2.3000,-0.01035610,0.92642648
2.3100,-0.01058451,1.07963931
2.3200,-0.01070521,1.20171304
2.3300,-0.01070606,1.28572566
2.3400,-0.01057870,1.32665119
2.3500,-0.01031905,1.32163301
2.3600,-0.00992764,1.27014130
2.3700,-0.00940958,1.17400609
2.3800,-0.00877445,1.03732425
2.3900,-0.00803589,0.86624515
2.4000,-0.00721092,0.66864671
2.4100,-0.00631923,0.45371911
2.4200,-0.00538223,0.23147857
2.4300,-0.00442205,0.01223727
2.4400,-0.00346055,-0.19394210
2.4500,-0.00251825,-0.37777785
2.4600,-0.00161347,-0.53125832
2.4700,-0.00076152,-0.64806227
2.4800,0.00002598,-0.72388789
2.4900,0.00074144,-0.75667296
2.5000,0.00138159,-0.74669430
2.5100,0.00194741,-0.69654126
2.5200,0.00244387,-0.61096470
2.5300,0.00287948,-0.49660964
2.5400,0.00326559,-0.36164616
2.5500,0.00361564,-0.21531829
2.5600,0.00394417,-0.06743534
2.5700,0.00426588,0.07216686
2.5800,0.00459467,0.19416594
2.5900,0.00494265,0.29026484
2.6000,0.00531939,0.35364813
2.6100,0.00573118,0.37935807
2.6200,0.00618056,0.36457018
2.6300,0.00666606,0.30875347
2.6400,0.00718211,0.21370650
2.6500,0.00771923,0.08346760
2.6600,0.00826445,-0.07589637
2.6700,0.00880191,-0.25661095
2.6800,0.00931361,-0.44960789
2.6900,0.00978032,-0.64500922
2.7000,0.01018260,-0.83265583
2.7100,0.01050176,-1.00265205
2.7200,0.01072088,-1.14589683
2.7300,0.01082569,-1.25457319
2.7400,0.01080539,-1.32256934
2.7500,0.01065321,-1.34580900
2.7600,0.01036683,-1.32247306
2.7700,0.00994859,-1.25310069
2.7800,0.00940541,-1.14056431
2.7900,0.00874848,-0.98991998
2.8000,0.00799282,-0.80814095
2.8100,0.00715654,-0.60374894
2.8200,0.00625999,-0.38636276
2.8300,0.00532483,-0.16618855
2.8400,0.00437298,0.04652080
2.8500,0.00342565,0.24200835
2.8600,0.00250230,0.41152844
2.8700,0.00161982,0.54780719
2.8800,0.00079180,0.64542337
2.8900,0.00002797,0.70108928
2.9000,-0.00066610,0.71381644
2.9100,-0.00128915,0.68495738
2.9200,-0.00184401,0.61812138
2.9300,-0.00233733,0.51896852
2.9400,-0.00277897,0.39489348
2.9500,-0.00318125,0.25461597
2.9600,-0.00355812,0.10769998
2.9700,-0.00392420,-0.03597222
2.9800,-0.00429376,-0.16674306
2.9900,-0.00467982,-0.27571017
3.0000,-0.00509320,-0.35521599
3.0100,-0.00554181,-0.39926995
3.0200,-0.00603002,-0.40388054
3.0300,-0.00655827,-0.36727924
3.0400,-0.00712290,-0.29002433
3.0500,-0.00771623,-0.17497889
3.0600,-0.00832678,-0.02716407
3.0700,-0.00893982,0.14650436
3.0800,-0.00953808,0.33758224
3.0900,-0.01010251,0.53654623
3.1000,-0.01061330,0.73330184
3.1100,-0.01105086,0.91772310
3.1200,-0.01139684,1.08019473
3.1300,-0.01163505,1.21212770
3.1400,-0.01175236,1.30642050
3.1500,-0.01173939,1.35784119
3.1600,-0.01159102,1.36330980
3.1700,-0.01130671,1.32206581
3.1800,-0.01089057,1.23571166
3.1900,-0.01035120,1.10813007
3.2000,-0.00970131,0.94527944
3.2100,-0.00895713,0.75487838
3.2200,-0.00813761,0.54599633
3.2300,-0.00726356,0.32857230
3.2400,-0.00635665,0.11288739
3.2500,-0.00543834,-0.09098024
3.2600,-0.00452896,-0.27368903
3.2700,-0.00364670,-0.42712736
3.2800,-0.00280685,-0.54484028
3.2900,-0.00202115,-0.62236655
3.3000,-0.00129734,-0.65746812
3.3100,-0.00063892,-0.65023956
3.3200,-0.00004518,-0.60309171
